ファイル名,格納ファイル数,含める話者(ファイル名のフォーマットを正規表現で指定),ごめんなさい,ごめんね,すみません,すみませんでした,申し訳ありません,申し訳ありませんでした,申し訳ないです,何語ずつ含めるか,話者ブロック,謝罪語ブロック
1,99,P2022030\w{7},1,0,0,1,0,1,1,20,1,1
2,99,P2022030\w{7},1,0,0,1,0,1,1,20,0,1,1
3,106,P2022030\w{7},0,1,0,1,0,1,1,20,0,1,1
4,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,1,1
5,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,1,1
6,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,1,1
7,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,1,1
10,62,P2022030\w{7},0,0,0,1,0,1,1,20,1,1,2
11,62,P2022030\w{7},0,0,0,1,0,1,1,20,1,1,2
13,62,P2022030\w{7},0,0,0,1,0,1,1,20,1,1,2
14,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,0,1
15,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,0,1
16,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,0,1
17,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,0,1
18,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,1,1
19,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,0,2
20,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,0,2
21,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,0,2
22,62,P2022030\w{7},0,0,0,1,0,1,1,20,0,0,2
