1111111111,1
0,0
0,0
0,0
0,0
0,0
1111111111,3
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,申し訳ないです
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,申し訳ないです
None,None
None,None
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,ごめんなさい
P20211210_16_46,すみません
P20211210_16_46,申し訳ありません
None,ごめんなさい
None,ごめんなさい
P20211210_16_46,申し訳ありません
P20211210_16_46,すみません
None,None
None,None
None,None
P20211210_16_46,申し訳ありませんでした
